Título,Link,Data,Hora
"Lançamento do Painel SICAF - Estrangeiro","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/lancamento-do-painel-sicaf-estrangeiro ",08/03/2021,16h40
"Está no ar a Área de Trabalho - Governo!!!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/esta-no-ar-a-area-de-trabalho-governo ",01/03/2021,07h25
"Evolução do Sistema Comprasnet","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/evolucao-do-sistema-comprasnet ",24/02/2021,12h08
"Área de Trabalho - Governo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/area-de-trabalho-governo ",19/02/2021,16h04
"Comunicado aos fornecedores, às instituições gestoras das plataformas e às instituições financeiras tipo I","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/orientacao-aos-fornecedores-as-instituicoes-gestoras-das-plataformas-e-as-instituicoes-financeiras-tipo-i-1 ",11/02/2021,12h13
"Orientação – AntecipaGov","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/orientacao-2013-antecipagov ",10/02/2021,18h31
"Suprimento de fundos disponibilizado no Comprasnet Contratos!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/suprimento-de-fundos-disponibilizado-no-comprasnet-contratos ",03/02/2021,15h13
"Intenção de Registro de Preços (IRP) nº 04/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/intencao-de-registro-de-precos-irp-no-04-2021 ",02/02/2021,10h27
"Esclarecimento aos agentes de contratação sobre os dados divulgados no Painel de Compras do governo federal","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/esclarecimento-aos-agentes-de-contratacao-sobre-os-dados-divulgados-no-painel-de-compras-do-governo-federal ",28/01/2021,20h23
"Empenho de Suprimento de Fundos - Comprasnet Contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/comunica-empenho-de-suprimento-de-fundos ",27/01/2021,08h56
"Reforço e anulação de empenhos no ar!!!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/reforco-e-anulacao-de-empenhos-no-ar ",21/01/2021,14h19
"Pequenas empresas e MEI podem se cadastrar no Sicaf com o Gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/pequenas-empresas-e-mei-podem-se-cadastrar-no-sicaf-com-o-gov.br ",08/01/2021,15h13
"Orientação sobre contratação de instituição sem fins lucrativos - Acórdão nº 2.426/2020-TCU-Plenário","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/orientacao-sobre-contratacao-de-instituicao-sem-fins-lucrativos-acordao-no-2-426-2020-tcu-plenario ",08/01/2021,10h43
"Publicação de matérias no D.O.U","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/publicacao-de-materias-no-dou-no-comprasnet-contratos ",07/01/2021,19h38
"Está no ar o Comprasnet Contratos!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/esta-no-ar-o-comprasnet-contratos ",04/01/2021,14h31
"Processo Seletivo da SEGES – FCPE 3 – RESULTADO","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-da-seges-2013-fcpe-3-2013-resultado ",23/12/2020,08h55
"Horário especial para o envio de matérias para o DOU nos dias 24 e 31/12/2020.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/horario-especial-para-o-envio-de-materias-para-o-dou-nos-dias-24-e-31-12-2020 ",21/12/2020,17h12
"1º Curso Virtual do Comprasnet Contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/1o-curso-virtual-do-comprasnet-contratos ",14/12/2020,15h51
"Implantação do Sistema Comprasnet Contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/implantacao-do-sistema-comprasnet-contratos ",08/12/2020,10h47
"Processo Seletivo da SEGES","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-da-seges ",04/12/2020,17h14
"2ª etapa de revisão do PAC 2021 é prorrogada","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/2a-etapa-de-revisao-do-pac-2021-e-prorrogada ",27/11/2020,20h23
"Consulta Pública sobre a nova Instrução Normativa de Dispensa Eletrônica","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-sobre-a-instrucao-normativa-de-dispensa-eletronica ",26/11/2020,13h49
"Consulta Pública nº 07/2020","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-no-07-2020 ",20/11/2020,10h32
"Intenção de Registro de Preços (IRP) nº 26/2020","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/intencao-de-registro-de-precos-irp-no-26-2020 ",19/11/2020,14h49
"CONSULTA PÚBLICA Nº 06/2020","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-no-06-2020 ",05/11/2020,16h42
"O atendimento do Siasg evoluiu!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/o-atendimento-do-siasg-evoluiu ",05/11/2020,16h31
"Estados e municípios realizaram mais de 40 mil pregões eletrônicos em um ano","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/estados-e-municipios-realizaram-mais-de-40-mil-pregoes-eletronicos-em-um-ano ",28/10/2020,20h29
"Manutenção do Sistema Comprasnet","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-sistema-comprasnet ",16/10/2020,10h35
